raw_content,cleaned_content
人类还能拍出这样的片儿，说明也许还有救。,人类还能拍出这样的片儿 说明也许还有救
哈哈哈哈，这片子里猫很人、鹭鹰很人、卡皮巴拉很人、环尾狐猴很人，就金毛，怎么还那么狗啊。,哈哈哈哈 这片子里猫很人 鹭鹰很人 卡皮巴拉很人 环尾狐猴很人 就金毛 怎么还那么狗啊
"电影开头挂在树上的木船，暗示洪水涨退在不断重复。
这艘毛茸茸的诺亚方舟在淹没世界的洪水中漂出最温暖的涟漪。当蛇鹫振翅引发误会，狗狗护猫的笨拙让它终于读懂善意。后来它们在船头分食小鱼的画面，胜过千言万语的和解宣言。
狐猴执着收集玻璃器皿，却在接过水豚送来的镜子时，从反光中看见比收藏更珍贵的东西——伙伴眼里的星光。
导演把洪水灾难变成童话画布：鲸鱼脊背化作救生浮岛，蛇鹫在彩虹色云霞中羽化登仙，就连悬崖边众兽咬绳救船的惊险场面，都是萌态百出的集体表情包。
片尾彩蛋搁浅的鲸鱼摆尾重归大海，所有观众都会会心一笑——这个世界永远会给温柔的生命留扇后门。
猫猫教水豚划船，高冷的蛇鹫将球踢进水里，以及猫猫终于学会游泳后的傲娇模样，这些绒毛战士们用最本真的样子告诉我们：末日洪水冲不垮的，永远是互相托举的暖意。",电影开头挂在树上的木船 暗示洪水涨退在不断重复 这艘毛茸茸的诺亚方舟在淹没世界的洪水中漂出最温暖的涟漪 当蛇鹫振翅引发误会 狗狗护猫的笨拙让它终于读懂善意 后来它们在船头分食小鱼的画面 胜过千言万语的和解宣言 狐猴执着收集玻璃器皿 却在接过水豚送来的镜子时 从反光中看见比收藏更珍贵的东西 伙伴眼里的星光 导演把洪水灾难变成童话画布 鲸鱼脊背化作救生浮岛 蛇鹫在彩虹色云霞中羽化登仙 就连悬崖边众兽咬绳救船的惊险场面 都是萌态百出的集体表情包 片尾彩蛋搁浅的鲸鱼摆尾重归大海 所有观众都会会心一笑 这个世界永远会给温柔的生命留扇后门 猫猫教水豚划船 高冷的蛇鹫将球踢进水里 以及猫猫终于学会游泳后的傲娇模样 这些绒毛战士们用最本真的样子告诉我们 末日洪水冲不垮的 永远是互相托举的暖意
卡皮巴拉船长！敬礼！,卡皮巴拉船长 敬礼
一只小猫咪的末世冒险，以及如何和其它种类的动物共同生存，很容易想到那款叫Stray的游戏。叙事几乎全部依靠不同动物的真实特性和反应（甚至同类动物不同品种的不同性格，比如片中那只拉布拉多和其它狗狗的“表现”完全不一样），因此全片无对白，甚至把拟人化的笔触减至最低，也有极具想象力的段落设计。不过猫奴看得真心累，全程为大银幕上喵星人的冒险心惊胆战，每次它深陷险境不断喵喵叫，我脚趾都抓紧了，比看汤姆克鲁斯爬迪拜楼还紧张。,一只小猫咪的末世冒险 以及如何和其它种类的动物共同生存 很容易想到那款叫Stray的游戏 叙事几乎全部依靠不同动物的真实特性和反应 甚至同类动物不同品种的不同性格 比如片中那只拉布拉多和其它狗狗的 表现 完全不一样 因此全片无对白 甚至把拟人化的笔触减至最低 也有极具想象力的段落设计 不过猫奴看得真心累 全程为大银幕上喵星人的冒险心惊胆战 每次它深陷险境不断喵喵叫 我脚趾都抓紧了 比看汤姆克鲁斯爬迪拜楼还紧张
彩蛋最后还是给咱们大鲸鱼一个好结局了…不然我可得难受死😣,彩蛋最后还是给咱们大鲸鱼一个好结局了 不然我可得难受死
某些神性瞬间：鹫羽化成仙，鲸搁浅陆地。,某些神性瞬间 鹫羽化成仙 鲸搁浅陆地
"庞大的猫型雕塑证明猫是末日中的主角冒险者，狗是盲从但忠诚的愚者，狐猴是精致利己者，卡皮巴拉是善良有加但普通的庸人，蛇鹫是严肃古板的智者，鹿是感知厄运的通灵者，鲸是持剑守护万物生灵的天使
灾难到达顶峰时，悲观的智者放弃一切羽化登仙，只剩冒险者继续苦苦挣扎，被代表希望和文明的玻璃球托起，终于等到洪水退去，水位下降，曾经在天际翱翔的天使陨落，可通灵者表明灾难会再次来临，冒险者看着水中自己和同伴们的倒影，大概所有人心中都充满迷茫。彩蛋里鲸回到水中，可知洪水再次泛滥，那么冒险者呢？",庞大的猫型雕塑证明猫是末日中的主角冒险者 狗是盲从但忠诚的愚者 狐猴是精致利己者 卡皮巴拉是善良有加但普通的庸人 蛇鹫是严肃古板的智者 鹿是感知厄运的通灵者 鲸是持剑守护万物生灵的天使 灾难到达顶峰时 悲观的智者放弃一切羽化登仙 只剩冒险者继续苦苦挣扎 被代表希望和文明的玻璃球托起 终于等到洪水退去 水位下降 曾经在天际翱翔的天使陨落 可通灵者表明灾难会再次来临 冒险者看着水中自己和同伴们的倒影 大概所有人心中都充满迷茫 彩蛋里鲸回到水中 可知洪水再次泛滥 那么冒险者呢
不知为何联想到少年派的奇幻漂流甚至是七武士，也是某种公路片。献祭的圣人，狡猾的商人，憨厚靠谱的伙计，乐观的伙伴，扶持的老前辈，地痞流氓，面对类似末世灾难时如何一路成长。 类闯关RPG，同时自然类手持的晃动让画面生动不少。给大人看或许有些单调，但给小孩看又过于晦涩。,不知为何联想到少年派的奇幻漂流甚至是七武士 也是某种公路片 献祭的圣人 狡猾的商人 憨厚靠谱的伙计 乐观的伙伴 扶持的老前辈 地痞流氓 面对类似末世灾难时如何一路成长 类闯关RPG 同时自然类手持的晃动让画面生动不少 给大人看或许有些单调 但给小孩看又过于晦涩
简直是在演我，从开始对一切都怀有戒备心，到慢慢接纳，付出，有点后知后觉，却又不想留有遗憾，有些人错过了，有些人还在身边，有些人留在了回忆里。,简直是在演我 从开始对一切都怀有戒备心 到慢慢接纳 付出 有点后知后觉 却又不想留有遗憾 有些人错过了 有些人还在身边 有些人留在了回忆里
因为是大洪水寓言，动物的行为难免需要拟人化，但导演又不打算彻底的拟人化去塑造这些动物，现在这种做法会削弱叙事性，电影的定位其实是没什么娱乐性的文艺片。剧情在一个小时左右，当那几只狗狗上船之后，随着小猫的下船出走，之前船上动物之间建立的关系全部被打乱，可能性的冲突都被导演刻意回避掉了，随着大洪水的消退，电影也在头重脚轻的观感中快速结束了。,因为是大洪水寓言 动物的行为难免需要拟人化 但导演又不打算彻底的拟人化去塑造这些动物 现在这种做法会削弱叙事性 电影的定位其实是没什么娱乐性的文艺片 剧情在一个小时左右 当那几只狗狗上船之后 随着小猫的下船出走 之前船上动物之间建立的关系全部被打乱 可能性的冲突都被导演刻意回避掉了 随着大洪水的消退 电影也在头重脚轻的观感中快速结束了
这部片子最好的一点是：动物没有开口讲话。,这部片子最好的一点是 动物没有开口讲话
哪咤在这种片面前太幼稚了,哪咤在这种片面前太幼稚了
从一个人像一支队伍，到一个人组了一支队伍。,从一个人像一支队伍 到一个人组了一支队伍
2.0 / 或许人类最一厢情愿的人类中心想象就是：脱离（人类）语言就能远离人类中心主义。就像这部电影，世界观把非人类中心写在脸上，也有一些还算自觉的剧作细节，但是实际的叙事逻辑和推进效果，完完全全是把神话重写变成小学语文考试看图编故事……,2 0 或许人类最一厢情愿的人类中心想象就是 脱离 人类 语言就能远离人类中心主义 就像这部电影 世界观把非人类中心写在脸上 也有一些还算自觉的剧作细节 但是实际的叙事逻辑和推进效果 完完全全是把神话重写变成小学语文考试看图编故事
可能是我缺乏点对哲学与萌物的感悟，全片看完的感触只是一丝淡淡的疑惑：这是在做什么？,可能是我缺乏点对哲学与萌物的感悟 全片看完的感触只是一丝淡淡的疑惑 这是在做什么
猫猫是intp，白鸟是infj，金毛是enfp，狐猴是esfj，卡皮巴拉是rest,猫猫是intp 白鸟是infj 金毛是enfp 狐猴是esfj 卡皮巴拉是rest
影片是厌人症患者的福音，但讽刺的是影院里叽叽喳喳的幼童又扰乱了这一切。,影片是厌人症患者的福音 但讽刺的是影院里叽叽喳喳的幼童又扰乱了这一切
"3.5；以人类痕迹几乎已消除的大洪水时期为背景，透过一只猫的视角，去目睹大地变形、日月变色，画面绝美，动画形式的长镜头如入无人之境（整体框架有游戏的闯关设定），落入深海的幽闭恐惧症爆发。
五种不同性格/意识的动物集结于诺亚方舟，朝着天际线方向的山巅进发——可隐喻为寻找文明和生息的历程，期间更遭遇过狗群上船后的地盘抢夺，但导演并未往这个方向深挖，点到为止后重点落到动物们自我意识的觉醒并为共存共生而作出努力，可能这才是“陆上行舟”坠落之后它们看向水中影子的共同想法，而曾是水中世界守护者的鲸鱼，承载着从濒临死亡而复生的希望，游向开阔明朗的应许之地。
最爱白鹭羽化登仙一段，迷离如梦境，动物群体中最具反叛意识的先行者，必将最先获得自由；而留在尘世的猫猫，成长为智慧和勇气的生灵。",3 5 以人类痕迹几乎已消除的大洪水时期为背景 透过一只猫的视角 去目睹大地变形 日月变色 画面绝美 动画形式的长镜头如入无人之境 整体框架有游戏的闯关设定 落入深海的幽闭恐惧症爆发 五种不同性格 意识的动物集结于诺亚方舟 朝着天际线方向的山巅进发 可隐喻为寻找文明和生息的历程 期间更遭遇过狗群上船后的地盘抢夺 但导演并未往这个方向深挖 点到为止后重点落到动物们自我意识的觉醒并为共存共生而作出努力 可能这才是 陆上行舟 坠落之后它们看向水中影子的共同想法 而曾是水中世界守护者的鲸鱼 承载着从濒临死亡而复生的希望 游向开阔明朗的应许之地 最爱白鹭羽化登仙一段 迷离如梦境 动物群体中最具反叛意识的先行者 必将最先获得自由 而留在尘世的猫猫 成长为智慧和勇气的生灵
非电影。,非电影
抱着我喵看的，它没坚持多久，可能因为我一直在说看看人家，看看人家,抱着我喵看的 它没坚持多久 可能因为我一直在说看看人家 看看人家
有意思，不会因为我们是同类就真的是同类。每个人都有自己的人生课题，独立并不意味着孤独，合作也并不意味着同流。有些人只能一起走一段，也有些人会随时离开。充满哲思的flow。,有意思 不会因为我们是同类就真的是同类 每个人都有自己的人生课题 独立并不意味着孤独 合作也并不意味着同流 有些人只能一起走一段 也有些人会随时离开 充满哲思的flow
没朋友，找朋友，丢朋友，好朋友。,没朋友 找朋友 丢朋友 好朋友
边看边怕他们饿着,边看边怕他们饿着
从始至终感受着来自猫猫身上难以言说的哀伤。,从始至终感受着来自猫猫身上难以言说的哀伤
为小镜子反射的光点发狂，被水上的漂浮小球救起。狐猴在四处搜罗，鹭鹰在争夺领地，野犬在到处狂吠，水豚在安然休憩。末日里的小动物们在努力求生，从陆地换成方舟不过是另一种栖居。到山顶去看天，到水底去赏鱼，会有孤鸟在船尾把持方向，会有巨鲸从海底拯救万灵。洪水吞没人类文明，留下希声的遗迹。,为小镜子反射的光点发狂 被水上的漂浮小球救起 狐猴在四处搜罗 鹭鹰在争夺领地 野犬在到处狂吠 水豚在安然休憩 末日里的小动物们在努力求生 从陆地换成方舟不过是另一种栖居 到山顶去看天 到水底去赏鱼 会有孤鸟在船尾把持方向 会有巨鲸从海底拯救万灵 洪水吞没人类文明 留下希声的遗迹
洪水对猫来说是灾难，干旱对鱼来说是灾难。万物共生，潮涨潮落，猫学会了自我献祭，却看不懂天道轮回。真的是一部非常奇妙的电影，简单的寓言却饱含深意，像极了我们的人生。入选年度前十,洪水对猫来说是灾难 干旱对鱼来说是灾难 万物共生 潮涨潮落 猫学会了自我献祭 却看不懂天道轮回 真的是一部非常奇妙的电影 简单的寓言却饱含深意 像极了我们的人生 入选年度前十
大虐！大虐！狗狗身败名裂！,大虐 大虐 狗狗身败名裂
诺亚方舟，末世寓言。如果你是没有什么坏心眼的小猫咪🐈‍⬛，全世界都会帮你❤️。每种动物的特性都抓得极准，很难不爱！/ SIFF 2024 第4场@美罗城,诺亚方舟 末世寓言 如果你是没有什么坏心眼的小猫咪 全世界都会帮你 每种动物的特性都抓得极准 很难不爱 SIFF 2024 第4场 美罗城
不知为何，太像是一个影像化为主的游戏录屏了，也许是有场景、角色与情节的设置，但画面呈现好像其实没有视角,不知为何 太像是一个影像化为主的游戏录屏了 也许是有场景 角色与情节的设置 但画面呈现好像其实没有视角
猫好！卡皮巴拉好！长腿鸟好！狗好！狐猴好！鲲好！喵的一声，猫学会了游泳；喵的一声，猫学会了捉鱼。人做出这样的片子，人也好。,猫好 卡皮巴拉好 长腿鸟好 狗好 狐猴好 鲲好 喵的一声 猫学会了游泳 喵的一声 猫学会了捉鱼 人做出这样的片子 人也好
导演真是精神东方人。白鸟和鲸鱼的设定好庄子啊。北冥有鱼，其名为鲲。鲲之大，不知其几千里也。化而为鸟，其名为鹏。鹏之背，不知其几千里也。白鸟羽化补天，一鲸落万物生。,导演真是精神东方人 白鸟和鲸鱼的设定好庄子啊 北冥有鱼 其名为鲲 鲲之大 不知其几千里也 化而为鸟 其名为鹏 鹏之背 不知其几千里也 白鸟羽化补天 一鲸落万物生
"没有人类，没有对白，只有动物们在洪水吞没的世界里寻找新的栖息方式。在危险与静谧中，有神性升腾而起。西方的城市、东方的庙宇，还有那些高耸入云的山峦，让人分不清时空。独立而充满戒备的猫，乐观无戒心的狗，处乱不惊的水豚，圣洁又孤傲的蛇鹫，以及那只有收集癖的狐猴，它想靠奇珍异宝吸引同类，但实则不过是举着镜子孤芳自赏——像极了困在社交媒体中的人。

这显然是个可做各种解读的隐喻文本，后疫情、环保主义、移民……总之关于如何被迫与他者找到和谐共处的方式。但也可做最单纯的观看，它仅仅关于一个后人类世界，动物们如何从“大逃杀”想象中生还，重新回到自然之中。水是天劫，也是孕育重生的母体。",没有人类 没有对白 只有动物们在洪水吞没的世界里寻找新的栖息方式 在危险与静谧中 有神性升腾而起 西方的城市 东方的庙宇 还有那些高耸入云的山峦 让人分不清时空 独立而充满戒备的猫 乐观无戒心的狗 处乱不惊的水豚 圣洁又孤傲的蛇鹫 以及那只有收集癖的狐猴 它想靠奇珍异宝吸引同类 但实则不过是举着镜子孤芳自赏 像极了困在社交媒体中的人 这显然是个可做各种解读的隐喻文本 后疫情 环保主义 移民 总之关于如何被迫与他者找到和谐共处的方式 但也可做最单纯的观看 它仅仅关于一个后人类世界 动物们如何从 大逃杀 想象中生还 重新回到自然之中 水是天劫 也是孕育重生的母体
太好了，世界末日人类没了，太好了，猫还在。,太好了 世界末日人类没了 太好了 猫还在
大洪水之后人类都死绝了吧。就…可不可以不要在小动物身上投射一整套人类社会的生存法则和价值观，真的不想做阅读理解。你们人类太容易自作多情了！,大洪水之后人类都死绝了吧 就 可不可以不要在小动物身上投射一整套人类社会的生存法则和价值观 真的不想做阅读理解 你们人类太容易自作多情了
毛的质感在鸟类上很不错，但是主角猫猫狗狗上反而不太好。风格奇幻迤逦，不过故事感很弱。适合放在VR眼镜里做沉浸式短片，不太像电影,毛的质感在鸟类上很不错 但是主角猫猫狗狗上反而不太好 风格奇幻迤逦 不过故事感很弱 适合放在VR眼镜里做沉浸式短片 不太像电影
额有猫一族表示不如看自家猫治愈，因为动作习性等等都存在不合理的地方，导致无法入戏，无法理解创作初衷，整体的欣赏欲望就被不信任感冲垮了。,额有猫一族表示不如看自家猫治愈 因为动作习性等等都存在不合理的地方 导致无法入戏 无法理解创作初衷 整体的欣赏欲望就被不信任感冲垮了
"想不到一部电影给我看的晕3D了，建模太粗糙，光影也很奇怪，就像玩低画质低帧数游戏一样。去厕所呕了一下才舒服。
大洪水元素的寓言故事，由于没有人类，那就注定了动物拟人化，虽然没有说话，但是动物本身的拟人化行为就代表着本质上还是一群不同人类的在面对灾难时的各种面貌，换成真人没太多不同。",想不到一部电影给我看的晕3D了 建模太粗糙 光影也很奇怪 就像玩低画质低帧数游戏一样 去厕所呕了一下才舒服 大洪水元素的寓言故事 由于没有人类 那就注定了动物拟人化 虽然没有说话 但是动物本身的拟人化行为就代表着本质上还是一群不同人类的在面对灾难时的各种面貌 换成真人没太多不同
猫奴会心一笑，果然只有猫猫才能统治这个世界。,猫奴会心一笑 果然只有猫猫才能统治这个世界
算了，跟你们不养猫的说不清楚。,算了 跟你们不养猫的说不清楚
老实讲不太喜欢拍动物硬要拟人和加隐喻的，关键是你故事讲明白了吗？其他动物不太懂，猫和狗的好多反应和动作设计感觉是凭着对这两种最常见宠物的刻板印象。卡皮巴拉除了是网红萌物，选择它作为主角的原因是什么？全片充斥刻意讨好和白人那种自以为深刻的单薄寓言，画面更是粗糙得像10年前的游戏CG。,老实讲不太喜欢拍动物硬要拟人和加隐喻的 关键是你故事讲明白了吗 其他动物不太懂 猫和狗的好多反应和动作设计感觉是凭着对这两种最常见宠物的刻板印象 卡皮巴拉除了是网红萌物 选择它作为主角的原因是什么 全片充斥刻意讨好和白人那种自以为深刻的单薄寓言 画面更是粗糙得像10年前的游戏CG
猫猫救卡比吧啦猫好，拉布拉多保护猫猫狗好，卡比吧啦救小猴的玻璃球卡比吧啦好，蛇鹫为大家掌舵蛇鹫好，鲲救猫猫鲲好😭,猫猫救卡比吧啦猫好 拉布拉多保护猫猫狗好 卡比吧啦救小猴的玻璃球卡比吧啦好 蛇鹫为大家掌舵蛇鹫好 鲲救猫猫鲲好
#SIFF#算是我的第一部上影节电影。画风是真的惊艳，全程没有一句台词，故事也是真的没什么故事。今年一种关注被动物电影充沛。,SIFF 算是我的第一部上影节电影 画风是真的惊艳 全程没有一句台词 故事也是真的没什么故事 今年一种关注被动物电影充沛
确实看到了很多少年派的影子，令我难以共鸣的地方在于末日世界里的动物仍然表现出高度拟人和社会化的行为，那你跟会说话的动物卡通的区别在哪儿呢？审美风格上恰巧也是我没那么喜欢的 3D 风格，不过这个片子与其说本身对我有什么触动不如说制作过程对我的触动更大，小几十人的团队用 blender渲染两个月就搞完了… 以后再加上 AIGC 的加持，创作的技术与资金门槛肉眼可见的越来越低了,确实看到了很多少年派的影子 令我难以共鸣的地方在于末日世界里的动物仍然表现出高度拟人和社会化的行为 那你跟会说话的动物卡通的区别在哪儿呢 审美风格上恰巧也是我没那么喜欢的 3D 风格 不过这个片子与其说本身对我有什么触动不如说制作过程对我的触动更大 小几十人的团队用 blender渲染两个月就搞完了 以后再加上 AIGC 的加持 创作的技术与资金门槛肉眼可见的越来越低了
29th biff 1.动物设置一大堆很多其实都没什么意义。2.动物之间莫名其妙产生的情感不是很能理解。3.我想看最真实的动物世界下的一些东西，过分拟人化和引射人类社会下的东西为什么不直接让真人来演？4.很多逻辑和场景莫名其妙，没什么意义。5.全程观众笑的挺开心的，我在旁边挺尴尬的。,29th biff 1 动物设置一大堆很多其实都没什么意义 2 动物之间莫名其妙产生的情感不是很能理解 3 我想看最真实的动物世界下的一些东西 过分拟人化和引射人类社会下的东西为什么不直接让真人来演 4 很多逻辑和场景莫名其妙 没什么意义 5 全程观众笑的挺开心的 我在旁边挺尴尬的
22/05🐈‍⬛从Animatic版本到Salle Debussy 我们的小猫终于游进了戛纳💙💙💙,22 05 从Animatic版本到Salle Debussy 我们的小猫终于游进了戛纳
这个建模有种想拿出游戏手柄的欲望 剧情其实很简单 很纯粹 视觉方面 退潮段落和最后鲸鱼的镜头给本人震撼挺大的,这个建模有种想拿出游戏手柄的欲望 剧情其实很简单 很纯粹 视觉方面 退潮段落和最后鲸鱼的镜头给本人震撼挺大的
这是我今年看过最可爱的电影，导演一定养猫很多年，紧张的、开心的、害怕的、舒适的、玩耍的样子太像了！！！玩尾巴、从桌子上推东西、喜欢站在高处、玩光影、清洁自己，每一个猫的小习惯都捕捉到了，没有一句台词，却可爱晕了！少年喵的奇幻漂流，好美好可爱,这是我今年看过最可爱的电影 导演一定养猫很多年 紧张的 开心的 害怕的 舒适的 玩耍的样子太像了 玩尾巴 从桌子上推东西 喜欢站在高处 玩光影 清洁自己 每一个猫的小习惯都捕捉到了 没有一句台词 却可爱晕了 少年喵的奇幻漂流 好美好可爱
