原始评论,清洗后评论
一股子辐射味的电幻国度，原著那种孤独冰冷的北欧末世感已荡然无存。从复联4以来，罗素兄弟能拿得出手的只剩下决战群像调度。堆砌的数字特效和机器人形象设计充斥着滑稽感。还是去看环形物语吧。,一股子辐射味的电幻国度 原著那种孤独冰冷的北欧末世感已荡然无存 从复联4以来 罗素兄弟能拿得出手的只剩下决战群像调度 堆砌的数字特效和机器人形象设计充斥着滑稽感 还是去看环形物语吧
全片最好看的也许就是开头几分钟的人机战争简史了，对付杜宾犬的邮差神拳也稍微笑了笑，但说好的拆卸重组连体拾荒机器人完全无作为，最后决战也十分凑合。罗素兄弟纯洗钱片无疑，可惜了一众可爱的机器人设定,全片最好看的也许就是开头几分钟的人机战争简史了 对付杜宾犬的邮差神拳也稍微笑了笑 但说好的拆卸重组连体拾荒机器人完全无作为 最后决战也十分凑合 罗素兄弟纯洗钱片无疑 可惜了一众可爱的机器人设定
挺烂的，看似是讨论人类和机器人的矛盾，实际上是小孩子过家家，机器人是手中可以被随意摆弄的玩具，卖萌的存在。,挺烂的 看似是讨论人类和机器人的矛盾 实际上是小孩子过家家 机器人是手中可以被随意摆弄的玩具 卖萌的存在
拼好片,拼好片
这才是真正的“主题乐园电影”吧，除了主题之外什么都没有了，和这一比复联多有深度啊，求求流媒体别再给罗素兄弟投钱了。但话说回来也要怪我，总爱找这些傻了吧唧爆米花电影来看，热热闹闹，人畜无害，比很多电影院里的片子可看不少，其实如果流媒体能稳定产出这样质量的作品，也没什么不好。,这才是真正的 主题乐园电影 吧 除了主题之外什么都没有了 和这一比复联多有深度啊 求求流媒体别再给罗素兄弟投钱了 但话说回来也要怪我 总爱找这些傻了吧唧爆米花电影来看 热热闹闹 人畜无害 比很多电影院里的片子可看不少 其实如果流媒体能稳定产出这样质量的作品 也没什么不好
大数据时代下的旧思维产物，看上去充斥着一堆什么乱七八糟该有的元素都有了，但看上去都太老生常谈没啥意思了，唯一值得说的应该也就是，herm的机器人形象是挺萌的。,大数据时代下的旧思维产物 看上去充斥着一堆什么乱七八糟该有的元素都有了 但看上去都太老生常谈没啥意思了 唯一值得说的应该也就是 herm的机器人形象是挺萌的
低配和低幼版《头号玩家》，唯一的美学还是个别对原作还原的镜头。故事简单，角色扁平，台词和剧情让人尴尬。《环形物语》的含金量还在升高。,低配和低幼版 头号玩家 唯一的美学还是个别对原作还原的镜头 故事简单 角色扁平 台词和剧情让人尴尬 环形物语 的含金量还在升高
全给的特效，故事就是正常的故事，机器人和自由啥的,全给的特效 故事就是正常的故事 机器人和自由啥的
一部没什么营养的片子，简简单单的机器人科幻合家欢，也是罗素兄弟证明自己并没有才华的又一力证。原著作为图像小说，受到追捧的点就是插画里孤独梦幻的巨物美学。然后这部电影没有一个像样的镜头去表达这点，也没有任何桥段拍得是能让人有所记忆。太多无所谓的人形机器人段落学《终结者》了，虚拟世界沉浸带来的现实末日部分也是完全无涉及，漫威和罗素兄弟属实是互相成就了。而且米莉·波比·布朗和克里斯·帕拉特实在是接连不断演了太多大差不差的商业爆米花，重复的人设和毫无质感的套路表演已经让人厌倦。,一部没什么营养的片子 简简单单的机器人科幻合家欢 也是罗素兄弟证明自己并没有才华的又一力证 原著作为图像小说 受到追捧的点就是插画里孤独梦幻的巨物美学 然后这部电影没有一个像样的镜头去表达这点 也没有任何桥段拍得是能让人有所记忆 太多无所谓的人形机器人段落学 终结者 了 虚拟世界沉浸带来的现实末日部分也是完全无涉及 漫威和罗素兄弟属实是互相成就了 而且米莉 波比 布朗和克里斯 帕拉特实在是接连不断演了太多大差不差的商业爆米花 重复的人设和毫无质感的套路表演已经让人厌倦
俗套的打倒反派拯救世界自我救赎剧情，但是，笑点密集有趣，各种机器人很有个性很有创意，动画特效效果也都做得很自然，特别是机器人的做旧效果，非常真实可信。一部上乘的爆米花片，垃圾快餐也得吃食材新鲜的。,俗套的打倒反派拯救世界自我救赎剧情 但是 笑点密集有趣 各种机器人很有个性很有创意 动画特效效果也都做得很自然 特别是机器人的做旧效果 非常真实可信 一部上乘的爆米花片 垃圾快餐也得吃食材新鲜的
怎么会这么无聊,怎么会这么无聊
“小11”米莉波比布朗、“星爵”克里斯帕拉特的80年代适配度搭配罗素兄弟的漫威式剧作，定向打造的主创阵容从最开始就泯灭了原作反乌托邦的精神内核。斯塔伦海格给了每位读者一个自己的电幻国度，深邃、梦幻，而Netflix仅仅潦草的给出大数据的标准答案。,小11 米莉波比布朗 星爵 克里斯帕拉特的80年代适配度搭配罗素兄弟的漫威式剧作 定向打造的主创阵容从最开始就泯灭了原作反乌托邦的精神内核 斯塔伦海格给了每位读者一个自己的电幻国度 深邃 梦幻 而Netflix仅仅潦草的给出大数据的标准答案
破铜烂铁张牙舞爪的狂欢，剧情幼稚到完全可猜中走向，没有大场面输出，全是学龄前的内容，又是对战争议题与亲情救赎的一次拙劣排演，网飞3亿投资拿出这种质素来真的冤大头，为接下来的“复联”系列担忧，罗素兄弟执行水平完全是枯竭的乏味的没有想象力的，查履历和口碑看样子一直要混吃等死…,破铜烂铁张牙舞爪的狂欢 剧情幼稚到完全可猜中走向 没有大场面输出 全是学龄前的内容 又是对战争议题与亲情救赎的一次拙劣排演 网飞3亿投资拿出这种质素来真的冤大头 为接下来的 复联 系列担忧 罗素兄弟执行水平完全是枯竭的乏味的没有想象力的 查履历和口碑看样子一直要混吃等死
ai编剧吧？还肉搏机器人？给丫一发电磁脉冲炸弹，电影结束。。。,ai编剧吧 还肉搏机器人 给丫一发电磁脉冲炸弹 电影结束
长达128分钟的令人哈欠连天的长篇CG。从头到尾都在讲一个毫无真实情感可言的花架子故事。如今这个年代吧，电影工业可能是在进步，但电影绝对是在大踏步倒退了。,长达128分钟的令人哈欠连天的长篇CG 从头到尾都在讲一个毫无真实情感可言的花架子故事 如今这个年代吧 电影工业可能是在进步 但电影绝对是在大踏步倒退了
成年人勿看 XXXX！尤其是西蒙粉丝 XXXX！不介意对原著大幅改动，毕竟原著属氛围流不符合爽片气场，但这故事也太无聊！太老套！太难看了吧！！11表演也巨尴尬，除了特效团队视觉还不错外，导演编剧演员都十分敷衍，白瞎了！几个原著场景还原度可以加一星给情怀，片子作为一般爽片也是非常非常难看！ps.非原著的机器设计除了那个HRM以外风格都很不西蒙，不过相比奇差无比的剧情，好设计也是白瞎。,成年人勿看 XXXX 尤其是西蒙粉丝 XXXX 不介意对原著大幅改动 毕竟原著属氛围流不符合爽片气场 但这故事也太无聊 太老套 太难看了吧 11表演也巨尴尬 除了特效团队视觉还不错外 导演编剧演员都十分敷衍 白瞎了 几个原著场景还原度可以加一星给情怀 片子作为一般爽片也是非常非常难看 ps 非原著的机器设计除了那个HRM以外风格都很不西蒙 不过相比奇差无比的剧情 好设计也是白瞎
剧情很一般，但小小小小赫姆我超爱的,剧情很一般 但小小小小赫姆我超爱的
能看,能看
典型的好莱坞正能量片，套上了机器人的设定；剧情乏善可陈，人物形象、再到剧情推进都一眼看到底，尤其是反派的塑造和结局放弃脑机“拥抱生命”的发言，都过于乏善可陈；各式各样的机器人倒算是一个看点，撑死五分,典型的好莱坞正能量片 套上了机器人的设定 剧情乏善可陈 人物形象 再到剧情推进都一眼看到底 尤其是反派的塑造和结局放弃脑机 拥抱生命 的发言 都过于乏善可陈 各式各样的机器人倒算是一个看点 撑死五分
之前不是有200多分钟来着吗？怎么剪到两小时左右了。但即便这样，还是令人觉得无比冗长、无趣、昏昏欲睡，恍惚中感觉在看什么机器人总动员的真人版，噼里啪啦的也不知道在打什么，像是个用来洗钱的迪士尼烂项目。,之前不是有200多分钟来着吗 怎么剪到两小时左右了 但即便这样 还是令人觉得无比冗长 无趣 昏昏欲睡 恍惚中感觉在看什么机器人总动员的真人版 噼里啪啦的也不知道在打什么 像是个用来洗钱的迪士尼烂项目
特效不错，这么多机器人场景也没大纰漏。不过，本来该很感动的故事怎么讲到最后还是不咸不淡。而且讲故事的节奏也有点奇怪。最大的问题应该是花了这么多钱，怎么连一场足够唬人的大战场面也没有，高潮那场混战过于儿戏。,特效不错 这么多机器人场景也没大纰漏 不过 本来该很感动的故事怎么讲到最后还是不咸不淡 而且讲故事的节奏也有点奇怪 最大的问题应该是花了这么多钱 怎么连一场足够唬人的大战场面也没有 高潮那场混战过于儿戏
这两年最棒的好莱坞电影，比那些政治正确bullshit强多了,这两年最棒的好莱坞电影 比那些政治正确bullshit强多了
除了Simon Stälenhag的原著美术设计能五星，剩下的全是AI流水线网大的糟粕，白瞎了这么好的设定,除了Simon Stälenhag的原著美术设计能五星 剩下的全是AI流水线网大的糟粕 白瞎了这么好的设定
想知道真正支撑这部影片的幕后视效工作者能否因为费时费力费心血制作这样不能产生半点创作激情的数据库搅拌机呕吐物而获赔精神损失。,想知道真正支撑这部影片的幕后视效工作者能否因为费时费力费心血制作这样不能产生半点创作激情的数据库搅拌机呕吐物而获赔精神损失
美洲公路探险+科幻机械乱斗，公式化、快餐化、低幼化到有些乏善可陈。对战后背景、人机关系、世界观构建也并没进行更深层次的挖掘，取而代之的是无聊且俗套的青少年硬刚邪恶反派叙事，结尾嘴炮点题“回归现实生活”还能更生硬一点吗。,美洲公路探险 科幻机械乱斗 公式化 快餐化 低幼化到有些乏善可陈 对战后背景 人机关系 世界观构建也并没进行更深层次的挖掘 取而代之的是无聊且俗套的青少年硬刚邪恶反派叙事 结尾嘴炮点题 回归现实生活 还能更生硬一点吗
2.5星，头号玩家+荒野机器人+皮卡丘的大杂烩。太烂也不至于，但就是很没意思，各种机器人的特效镜头足以以假乱真，但场面戏则很差，照例是罗素兄弟在开阔场景的对跑混战，调度不佳，显得很混乱，其余部分也都是有佳句无华章式的平庸。 最差的是演员，导演是否用心拍不知道，但演员肯定没好好演，几位名演员就跟不会演戏一样，明显糊弄事。 90年代风格浓厚，很多当年的流行歌曲，结尾演讲那段BGM特别熟，想不起来是啥了,2 5星 头号玩家 荒野机器人 皮卡丘的大杂烩 太烂也不至于 但就是很没意思 各种机器人的特效镜头足以以假乱真 但场面戏则很差 照例是罗素兄弟在开阔场景的对跑混战 调度不佳 显得很混乱 其余部分也都是有佳句无华章式的平庸 最差的是演员 导演是否用心拍不知道 但演员肯定没好好演 几位名演员就跟不会演戏一样 明显糊弄事 90年代风格浓厚 很多当年的流行歌曲 结尾演讲那段BGM特别熟 想不起来是啥了
内核还是美国南北战争，整体是花生林肯拯救南方黑人再加印第安人保留地设定，邪恶乔布斯+马斯克妄图统治人类，最后靠小人物齐心协力拯救世界，最后再试图来点儿一点都不好笑的基情的老套故事。怎么说已经看麻了这套路。另外小十一怎么变成这样了开场还以为和弟弟是母女关系，突然又说被扔到寄养家庭，年龄感令人震惊……另外霓虹人多少年前就知道搞这种真人大脑做服务器主机的设定需要搞成阵列或者集群，米国人怎么还在可着一个小哥薅呢……这鲁棒性也不能行吧。,内核还是美国南北战争 整体是花生林肯拯救南方黑人再加印第安人保留地设定 邪恶乔布斯 马斯克妄图统治人类 最后靠小人物齐心协力拯救世界 最后再试图来点儿一点都不好笑的基情的老套故事 怎么说已经看麻了这套路 另外小十一怎么变成这样了开场还以为和弟弟是母女关系 突然又说被扔到寄养家庭 年龄感令人震惊 另外霓虹人多少年前就知道搞这种真人大脑做服务器主机的设定需要搞成阵列或者集群 米国人怎么还在可着一个小哥薅呢 这鲁棒性也不能行吧
选这个女主是认真的吗？这大脸盘子看起来像个三四十岁的妇女，在这演个学生，开头的一幕我还以为她是那个孩子他妈！！！,选这个女主是认真的吗 这大脸盘子看起来像个三四十岁的妇女 在这演个学生 开头的一幕我还以为她是那个孩子他妈
毫无想象力的过时的流水线作业，目标用户5岁以下，可能期待他们买周边,毫无想象力的过时的流水线作业 目标用户5岁以下 可能期待他们买周边
那本画册我脑海里的留白！！可不是这样俗套的！,那本画册我脑海里的留白 可不是这样俗套的
美工世界观很棒，制作顶级，故事开始有新奇感，讲着讲着俗套上了，如同小孩过家家,美工世界观很棒 制作顶级 故事开始有新奇感 讲着讲着俗套上了 如同小孩过家家
血肉苦弱，机械飞升，没有原著那么重的赛博抑郁感，搞成玩具总动员了，废台词蠢得可恶,血肉苦弱 机械飞升 没有原著那么重的赛博抑郁感 搞成玩具总动员了 废台词蠢得可恶
罗素兄弟傻*，把这原著拍得低能肤浅乱七八糟，我艹，申请把俩人加入枪毙名单，还有这个克里斯！！！,罗素兄弟傻 把这原著拍得低能肤浅乱七八糟 我艹 申请把俩人加入枪毙名单 还有这个克里斯
活着才能死去,活着才能死去
【　嘿！她可是宇宙小子的姐姐！ (*^▽^*)　】 去年起就一直很期待《电幻国度》这部电影，虽然预告片越来越烂今天还是看完了（我还是最喜欢第一版预告片），电影理念不错但不太好看； 没有设置足够的情节去明示碰撞　“人应该活在痛苦快乐的现实，还是沉溺美好理想的虚拟” 两种价值观，电影结尾的话很好，但为什么女主选择活在真实世界，不沉溺虚拟世界，而是热爱现实生活，人与人之间的真实交往，这些都没有足够强的说明。 《电幻国度》这个故事并不是一个　人类Vs机器人（人工智能）　高度对立的世界，如果是这种，按照人类的被害妄想：应该是人类发核弹，人工智能控制核弹，入侵控制所有的智能/非智能可编程设备，模拟假信息混淆视听，这怎么打，根本没得打，洗洗睡了吧。（未来的事谁都说不好，假设没意义，去实现吧！~）,嘿 她可是宇宙小子的姐姐 去年起就一直很期待 电幻国度 这部电影 虽然预告片越来越烂今天还是看完了 我还是最喜欢第一版预告片 电影理念不错但不太好看 没有设置足够的情节去明示碰撞 人应该活在痛苦快乐的现实 还是沉溺美好理想的虚拟 两种价值观 电影结尾的话很好 但为什么女主选择活在真实世界 不沉溺虚拟世界 而是热爱现实生活 人与人之间的真实交往 这些都没有足够强的说明 电幻国度 这个故事并不是一个　人类Vs机器人 人工智能 高度对立的世界 如果是这种 按照人类的被害妄想 应该是人类发核弹 人工智能控制核弹 入侵控制所有的智能 非智能可编程设备 模拟假信息混淆视听 这怎么打 根本没得打 洗洗睡了吧 未来的事谁都说不好 假设没意义 去实现吧
概念其实挺有趣的，但是故事太老套了，每一步转折都在意料之中，套娃机器人好可爱啊好想拥有一只,概念其实挺有趣的 但是故事太老套了 每一步转折都在意料之中 套娃机器人好可爱啊好想拥有一只
浪费俩小时,浪费俩小时
这书特别贵，电影效果比书的插画差多了……插画阴暗忧郁，电影好像一个烂尾的游乐场……,这书特别贵 电影效果比书的插画差多了 插画阴暗忧郁 电影好像一个烂尾的游乐场
意外还挺喜欢的，高科技含量比较低的科幻电影，那些造型怪异、用途也怪异的机器人多有意思。,意外还挺喜欢的 高科技含量比较低的科幻电影 那些造型怪异 用途也怪异的机器人多有意思
这拍的是啥？土死了。,这拍的是啥 土死了
很明显这是一部像罗宾威廉姆斯主演《勇敢者的游戏》和《安德的游戏》一样给少年看的科幻电影，充满了冒险，勇气和家庭亲人之间的关爱。这并不是一部给成年人看的硬核科幻，在少年电影的类型片里，我觉着《电幻国度》很不错，很优秀。可是有不少人死乞白咧地非要把影片当成硬核科幻去吐槽，这就分明是放下碗骂人的姿态了。根本就不是拍给你看的东西，非要上杆子凑上去说烂，好意思么！,很明显这是一部像罗宾威廉姆斯主演 勇敢者的游戏 和 安德的游戏 一样给少年看的科幻电影 充满了冒险 勇气和家庭亲人之间的关爱 这并不是一部给成年人看的硬核科幻 在少年电影的类型片里 我觉着 电幻国度 很不错 很优秀 可是有不少人死乞白咧地非要把影片当成硬核科幻去吐槽 这就分明是放下碗骂人的姿态了 根本就不是拍给你看的东西 非要上杆子凑上去说烂 好意思么
很精致的制作，甚至有点铺张浪费，一开始我很纳闷为什么不放大原著的独特气质，而选择在极度平庸的桥段做极度乏味的再制，对，再制奶酪的再制，每一帧都挑不出毛病，但叙事毫无吸引力。后来我想明白了，导演是做TOP漫改的，这种浪漫绘本（或者说设定集）对他们而言就是儿童读物、维基百科，角色的年龄段更是印证了这种预设，所以他们按照自己想象的儿童片的拍法，交了一个都答了但全做错的寒假作业，还不忘谢邀,很精致的制作 甚至有点铺张浪费 一开始我很纳闷为什么不放大原著的独特气质 而选择在极度平庸的桥段做极度乏味的再制 对 再制奶酪的再制 每一帧都挑不出毛病 但叙事毫无吸引力 后来我想明白了 导演是做TOP漫改的 这种浪漫绘本 或者说设定集 对他们而言就是儿童读物 维基百科 角色的年龄段更是印证了这种预设 所以他们按照自己想象的儿童片的拍法 交了一个都答了但全做错的寒假作业 还不忘谢邀
非常糟糕的改编，作为一个《电幻国度》的原著粉，有种“超英电影正在毁掉所有”的感觉。不知是否极力避免《环形物语》过于忠于原作氛围的“沉闷”，罗素兄弟只借了 Simon Stålenhag的不多的“壳”，原著的“魂儿”是一点也不要。美国太习惯将自己塑造成正义的一方，在殖民时代将自己塑造为拓荒者和淘金者；在硅基时代，将自己塑造成追求人机平等的斗士。家庭至上、人权、反战老兵，这种“美国梦叙事”太典了。,非常糟糕的改编 作为一个 电幻国度 的原著粉 有种 超英电影正在毁掉所有 的感觉 不知是否极力避免 环形物语 过于忠于原作氛围的 沉闷 罗素兄弟只借了 Simon Stålenhag的不多的 壳 原著的 魂儿 是一点也不要 美国太习惯将自己塑造成正义的一方 在殖民时代将自己塑造为拓荒者和淘金者 在硅基时代 将自己塑造成追求人机平等的斗士 家庭至上 人权 反战老兵 这种 美国梦叙事 太典了
其实美国电影的剧情有些老套，不过最后传达的理念个人觉得很值得称赞，那就是不要沉溺在虚拟的世界里，而更多的应该是现实世界里彼此的接触，我觉得蛮对当下现实的,其实美国电影的剧情有些老套 不过最后传达的理念个人觉得很值得称赞 那就是不要沉溺在虚拟的世界里 而更多的应该是现实世界里彼此的接触 我觉得蛮对当下现实的
废土、种族隔离、沉迷二次元，合一起确实没啥意思。,废土 种族隔离 沉迷二次元 合一起确实没啥意思
中规中矩的爆米花电影，重生之我在人工智能世界当人肉显卡。。。。。,中规中矩的爆米花电影 重生之我在人工智能世界当人肉显卡
能拍的再乏味点吗？中弃,能拍的再乏味点吗 中弃
We'd have to be alive to die.,We d have to be alive to die
The.Electric.State.2025.1080p.NF.WEB-DL.DDP5.1.H.264-EniaHD,The Electric State 2025 1080p NF WEB DL DDP5 1 H 264 EniaHD
我以为会是环形物语那种……,我以为会是环形物语那种
编剧请把钱退给网飞，另外，你要不想让观众评判你的容貌，别动脸,编剧请把钱退给网飞 另外 你要不想让观众评判你的容貌 别动脸
啥玩意？设定在一个个个机算机刚兴起的年代，然后机器人都成精了？机器人都能和人类作战了？有人说是借科幻的外衣讲人类的故事，但能不能不讲这么愚蠢落后的故事？是不是没有好的剧本了，只能在旧纸堆里找故事了？科幻前沿的地方现在毫无想象力了？跟沙丘一样，一群古代人开着科幻外衣的马匹用刀弓打架，真是够无聊的。,啥玩意 设定在一个个个机算机刚兴起的年代 然后机器人都成精了 机器人都能和人类作战了 有人说是借科幻的外衣讲人类的故事 但能不能不讲这么愚蠢落后的故事 是不是没有好的剧本了 只能在旧纸堆里找故事了 科幻前沿的地方现在毫无想象力了 跟沙丘一样 一群古代人开着科幻外衣的马匹用刀弓打架 真是够无聊的
小灰灰挺可爱,小灰灰挺可爱
没有活人演员可能会好点,没有活人演员可能会好点
场景基本还原了原绘本的那些迷人元素：或然历史、赛博废土、巨大沉默物/建筑、科罗拉多州大平顶山的公路旅途……但剧情着实老套了，女主为了救出被恶搞乔布斯的独裁技术巨头控制的弟弟，带着被弟弟思维附体的小机器人展开漫长旅途，途中结识了一对在人机大战里选择当逃兵的男人和建筑机器人、在隔离区的小镇遇到机器人领袖花生、一众人进攻反派公司总部……感觉一条线下来跟《无主之地》类似，有点乏味了。反倒不如做成《芬奇》那种纯公路片有趣（这个故事里我也最喜欢废土公路的部分，以及那个机器人自治的小镇）。不过这故事反过来倒是证明了绘本/插画的不可替代性，有点好奇Ashley Wood的World War Robot系列如果改编成电影会是怎样？,场景基本还原了原绘本的那些迷人元素 或然历史 赛博废土 巨大沉默物 建筑 科罗拉多州大平顶山的公路旅途 但剧情着实老套了 女主为了救出被恶搞乔布斯的独裁技术巨头控制的弟弟 带着被弟弟思维附体的小机器人展开漫长旅途 途中结识了一对在人机大战里选择当逃兵的男人和建筑机器人 在隔离区的小镇遇到机器人领袖花生 一众人进攻反派公司总部 感觉一条线下来跟 无主之地 类似 有点乏味了 反倒不如做成 芬奇 那种纯公路片有趣 这个故事里我也最喜欢废土公路的部分 以及那个机器人自治的小镇 不过这故事反过来倒是证明了绘本 插画的不可替代性 有点好奇Ashley Wood的World War Robot系列如果改编成电影会是怎样
看完我开始沉思，西天取经、桃太郎、绿野仙踪这种故事是不是每个国家都有一个版本，人类真的好无趣啊喂！而且上周看到还是机器人脸蛋海报，乍一看有点怪诞恐怖，但更吸引人。可惜故事还是太老土了。 最初看到剧照还让我想起《爱死机3：梅森的老鼠》那集，荒诞、孤独、野蛮及适当留白的叙事风格更适合废土，太温馨的团结救赎很难看进去，估计拍太多也是没灵感了，当然美术很棒，机器人都很可爱，外型也有辨识度。,看完我开始沉思 西天取经 桃太郎 绿野仙踪这种故事是不是每个国家都有一个版本 人类真的好无趣啊喂 而且上周看到还是机器人脸蛋海报 乍一看有点怪诞恐怖 但更吸引人 可惜故事还是太老土了 最初看到剧照还让我想起 爱死机3 梅森的老鼠 那集 荒诞 孤独 野蛮及适当留白的叙事风格更适合废土 太温馨的团结救赎很难看进去 估计拍太多也是没灵感了 当然美术很棒 机器人都很可爱 外型也有辨识度
女福尔摩斯+星爵+机器人多层套娃，以及伪机甲、伪动力甲大战，设定还凑合，能看，中号爆米花套餐。。。,女福尔摩斯 星爵 机器人多层套娃 以及伪机甲 伪动力甲大战 设定还凑合 能看 中号爆米花套餐
特效比黑队4要好，剧情很青少年。,特效比黑队4要好 剧情很青少年
【0】震撼。花近20亿人民币重金造屎拍网大，以为拍出科幻史诗，结果拍成了美国人自己的《749局》。平等地荼毒每一个观众。其幼稚可笑，特效之低廉，如此可笑的用以“美国梦”的形式进行好莱坞电影制造。但凡说是一点点沾边，碰瓷《ET外星人》以及《头号玩家》，就是对斯皮尔伯格的侮辱。罗素兄弟能有如此投资和电影拍，简直是以美国梦强奸观众审美霸凌，进行洗钱环节中匪夷所思的一段。叹服。,0 震撼 花近20亿人民币重金造屎拍网大 以为拍出科幻史诗 结果拍成了美国人自己的 749局 平等地荼毒每一个观众 其幼稚可笑 特效之低廉 如此可笑的用以 美国梦 的形式进行好莱坞电影制造 但凡说是一点点沾边 碰瓷 ET外星人 以及 头号玩家 就是对斯皮尔伯格的侮辱 罗素兄弟能有如此投资和电影拍 简直是以美国梦强奸观众审美霸凌 进行洗钱环节中匪夷所思的一段 叹服
好烂,好烂
